,Station,Roadway Name,Station Start,Station End
1607,13127,I278 at Bronx R,I278 WB (OFF),BRUCKNER BLVD
1608,13128,I278 at White P,I278 EB (OFF),BRUCKNER BLVD
1609,13129,I278 at White P,BRUCKNER BLVD,I278 WB (ON)
1610,13130,I278 at White P,BRUCKNER BLVD,I278 EB (ON)
1611,13131,I278 at White P,I278 WB (OFF),BRUCKNER BLVD
368,13132,I295 Exit 9 Eas,I295 NB (OFF),E 177TH ST
488,13133,I295 Exit 9 Eas,MERGE FROM E 177TH ST,I295 NB (ON)
624,13134,I295 Exit 9 Eas,I295 SB (OFF),THROGS NECK EXP EXT
756,13135,I295 Exit 9 Eas,MERGE FROM THROGS NECK EXP E,I295 SB (ON)
1612,13136,I295 Exit 11 Ra,I295 NB (OFF),RANDALL AVE
1613,13137,I295 Exit 11 Ra,RANDALL AVE,I295 NB (ON)
1614,13138,I295 Exit 11 Ra,I295 SB (OFF),RANDALL AVE
1615,13139,I295 Exit 11 Ra,RANDALL AVE,I295 SB (ON)
114,13140,678I Exit 18 Sc,HUTCHINSON RIVER PKWY,I678 NB (ON)
274,13141,678I Exit 18 Sc,I678 SB (OFF),HUTCHINSON RIVER PKWY
421,13142,678I Exit 18 Sc,I678 NB (OFF),HUTCHINSON RIVER PKWY
1616,13143,678I Exit 18 Sc,HUTCHINSON RIVER PKWY,I678 SB (ON)
1617,13144,I895 at Westche,I895 NB (OFF),WESTCHESTER AVE
1618,13145,I895 at Westche,I895 SB (OFF),BOONE AVE
1619,13146,I895 at Sherida,27500WESTCHESTER AVE(OFF)3,I895 NB (ON)
1620,13147,907H Exit 2E2W,I278 EB (OFF),907H NB (ON)
1621,13148,907H Exit 2E2W,Ramp 907H NB (OFF)Begins,I278 WB (ON)
1622,13149,907H Exit 2E2W,907H NB (OFF),SOUNDVIEW AVE
1623,13150,907H Exit 2E2W,907H SB (OFF),I278 WB (ON)
1624,13151,907H Exit 2E2W,MORRISON AVE,907H SB (ON)
1625,13152,907H Exit 2E2W,I278 WB (OFF),907H SB (ON)
1626,13153,907H Exit 2E2W,907H SB (OFF),I278 EB (ON)
1627,13154,907H Exit 2E2W,BRUCKNER BLVD,I278 EB (ON)
1628,13155,907H Exit 3 at,METCALF AVE,907H NB (ON)
1629,13156,907H Exit 3 at,907H SB (OFF),HARROD AVE
1630,13157,907H Exit 3 at,E 173RD ST,907H SB(ON)
1173,13158,907H Exit 6 at,B907H NB (OFF),BOSTON RD(ON)
1243,13159,907H Exit 6 at,BOSTON RD(OFF),907H NB (ON)
76,13160,907H Exit 6 at,907H SB (OFF),BOSTON RD(ON)
219,13161,907H Exit 6 at,BOSTON RD,907H SB (ON)
1631,13162,907H Exit 7E 7W,907H NB (OFF),US1 EB (ON)
1632,13163,907H Exit 7E 7W,US1 WB (OFF),907H NB (ON)
629,13164,907H Exit 8 at,907H NB (OFF),908F EB (ON)
1633,13165,907H Exit 7E 7W,907H SB (OFF),US1 WB (ON)
1634,13166,907H Exit 7E 7W,US1 EB(OFF),907H SB (ON)
1635,13167,907H Exit 7E 7W,907H SB (OFF),US1 EB (ON)
1636,13168,907H Exit 7E 7W,US1 EB (OFF),907H NB (ON)
1637,13169,907H Exit 7E 7W,907H NB (OFF),US1 WB (ON)
1638,13170,907H Exit 7E 7W,US1 WB (OFF),907H SB (ON)
220,13171,907H Exit 8 at,908F EB (OFF),907H NB (ON)
422,13172,907H Exit 8 at,908F WB (OFF),907H NB (ON)
543,13173,907H Exit 8 at,907H NB (OFF),908F WB (ON)
664,13174,907H Exit 8 at,907H SB (OFF),908F WB (ON)
797,13175,907H Exit 8 at,908F EB (OFF),907H SB (ON)
1639,13176,907H Exit 9 at,907H NB (OFF),E GUN HILL RD
1640,13177,907H Exit 9 at,E GUNHILL RD,907H SB (ON)
1641,13178,907H Exit 9 at,E GUNHILL RD,907H NB (ON)
1642,13179,907H Exit 9 at,907H SB (OFF),E GUN HILL RD
1643,13180,907H Exit 10 at,WEBSTER AVE,907H SB (ON)
1644,13181,907H Exit 10 at,907H NB (OFF),BRONX BLVD
1645,13182,907H Exit 10 at,907H SB (OFF),MergeWEBSTER AVE
544,13183,908A Exit 2 Wes,908A NB (OFF),E TREMONT AVE
665,13184,908A Exit 2 Wes,WESTCHESTER AVE,908A SB (ON)
798,13185,908A Exit 2 Wes,908A SB (OFF),WATERS PL
1646,13186,908A Exit 2 Wes,HUTINGSON RIVER PKWY,908A NB (ON)
1647,13187,908A Exit 3E3W,907E EB (OFF),908A NB (ON)
1648,13188,908A Exit 3E3W,907E EB (OFF),PELHAM PKWY S(ON)
1649,13189,908A Exit 3E3W,908A NB (OFF),907E WB (ON)
1650,13190,908A Exit 3E3W,908A SB (OFF),907E WB (ON)
1651,13191,908A Exit 3E3W,907E WB (OFF),908A SB (ON)
1652,13192,908A Exit 3E3W,908A SB (OFF),907E EB (ON)
1653,13193,908A Exit 3E3W,907E EB (OFF),908A SB (ON)
670,13194,908A Exit 5 HRP,908A NB OFF,MRG 908A SB OFF RAMP
799,13195,908A Exit 5 HRP,DIV 908A NB/SB ON RMPS,908A NB (ON)
912,13196,908A Exit 5 HRP,908A SB (OFF),MRG 908A NB OFF RAMP
1049,13197,908A Exit 5 HRP,DIV 908A NB/SB ON RMPS,908A SB (ON)
1654,13198,908F Exit 24 90,908F NB (OFF),907V SB (ON)
1283,13199,908A Exit 5 HRP,MRG 908A SB OFF RAMP,SHORE RD
257,14001,ADEE AVENUE,WHITE PLAINS R,BOSTON RD
1655,14002,ALBANY CRES,HEATH AVE,BAILEY AVE
518,14003,AMPERE AVE,KENNELLWRTH PL,RESEARCH AVE
1656,14004,ANDERSON AVE,JEROME AVE,W 167TH ST
1657,14005,ANDREWS AVE S,W TREMONT AVE,W 175TH ST
1658,14006,ARNOW AVE,WHITE PLAINS RD,BOSTON RD
1659,14007,ARTHUR AVE,E TREMONT AVE,E 180TH ST
1660,14008,ARTHUR AVE,CRESCENT AVE,E FORDHAM RD
1284,14009,ASCH LOOP,BARTOW AVE,CO-OP CITY BLVD
48,14010,ASTOR AVE,BOSTON RD,BRONXWOOD AVE
1661,14011,ASTOR AVE,BRONXWOOD AVE,WILLIAMSBRIDGE RD
1662,14012,BAILEY PL,BAILEY AVE,W 238TH ST@ORL
511,14013,BALCOM AVE,DEWEY AVE,RANDALL AVE
1663,14014,BARMES AVE,E 236TH ST,PITMAN AVE
1664,14015,BARTOW AVE,CO-OP CITY BLVD,HUTCHINSN R PK
1665,14016,BAYCHESTR AVE,HTCHNSN R PKY,BARTOW AVE
1029,14017,BAYCHESTER AVE,BARTOW AVE,CO OP CITY BLV
1666,14018,BEDFORD PK BLV,JEROME AVE,VALENTINE AVE
1237,14019,BEDFORD PARK BL,VALENTINE AVE,WEBSTER AVE
117,14020,BELLAMY LOOP,CO-OP CITY BLVD,CO-OP CITY BLVD
1667,14021,BERGEN AVE,WILLIS AVE,WESTCHESTER AVE
1668,14022,BERGEN AVE,WESTCHESTER AVE,E 153RD ST
547,14023,BIVONA ST,REEDS MILL LA,BOSTON RD
562,14024,BOGART AVE,LYDIG AVE,WOOD MANSTN PL
772,14025,BOLLER AVE,HUNTER AVE,HUTCHINSN R PK
1669,14026,BOONE AVE,WEST FARMS RD,IN 895 RMP
1670,14027,BOSCOBEL PL,UNDERCLIFF AVE,OGDEN AVE
1146,14028,BOSTON RD,E TREMONT AVE,E 180TH ST
1671,14029,BRONX PARK S,SOUTHERN BLVD,BOSTON RD
1672,14030,BR PSY CTR W LP,WATERS PL,BRX PSY CTR E
1673,14031,BR PSY CTR E LP,WATERS PL,END OF LOOP
1674,14032,BRONX RIVER AVE,STORY AVE,WESTCHESTER AVE
1675,14033,BRONX RIVER AVE,WESTCHESTER AVE,I-95/CBE SR EB
1676,14034,BRONX RIVER AVE,I-95/CBE SR EB,IN 95 SR  WB R
913,14036,BRONXWOOD AVE,GUN HILL RD,BARNES AVE
1677,14037,BROOK AVE,E 132ND ST,E 138TH ST
1678,14038,BRUSH AVE,WENNER PL,CROSS BRX EXPY
1679,14039,BURR AVE,AMENDOLA PL,IN95
101,14040,BYRON AVE,E 233RD ST,E 234TH ST
235,14041,CALHOUN AVE,DEWEY AVE,CROSS BRNX EXP
1680,14042,CAMPBELL DR,STADIUM AVE,COUNTRY CLUB R
1681,14043,CARVER LOOP,CO-OP CITY BLV,CO-OP CITY BLV
1682,14044,LOCUST PT DR,CHAFFEE AVE,TIERNEY PL
788,14045,CITY ISLAND RD,SHORE RD,CITY ISLAND AVE
1683,14047,CLARENCE AVE,SCHLEY AVE,PHILIP AVE
1684,14048,CLAY AVE,E 170TH ST,CLARMONT PKWY
88,14050,COUNTRY CLB RD,MACDOONOUGH PL,AGAR PL
1685,14052,DE KALB AVE,E 210TH ST,E GUN HILL RD
512,14053,DEAN AVE,PHILIP AVE,LAYTON AVE
1686,14054,DEVOE AVE,E 177TH ST,E TREMONT AVE
1687,14055,DEWEY AVE,BALCOM AVE,CROSS BRNX EXP
1688,14057,DREISER LOOP,CO-OP CITY BLV,CO-OP CITY BLV
1689,14058,DYRE AVE,BOSTON RD,E 233RD ST
1690,14059,DYRE AVE,E 233RD ST,WESTCHESTER CO LINE
1691,14060,E 132ND ST,BROOK AVE,ST ANNS AVE
128,14061,E 132ND ST,ROSE FEISS BLVD,LOCUST AVE
1692,14062,E 133RD ST,BRUCKNER BLVD,CYPRESS AVE
1693,14063,E 134TH ST,WALNUT AVE,LOCUST AVE
1694,14064,E 135TH ST,I278 SR / CYPRESS,ST ANNS AVE
708,14065,E 138TH ST,BRUCKNER BLVD,LOCUST AVE
1695,14066,E 139TH ST,JACKSON AVE,BRUCKNER BLVD
922,14067,E 141ST ST,JACKSON AVE,BRUCKNER BLVD
1065,14068,E 142ND ST,WALES AVE,SOUTHERN BLVD
1696,14069,E 143RD ST,E 144TH ST,MORRIS AVE
1697,14070,E 143RD ST,THIRD AVE,ST ANNS AVE
1698,14071,E 148TH ST,MORRIS AVE,THIRD AVE
1699,14072,E 149TH ST,NY CO LINE,GRAND CONCOURSE
490,14073,E 149TH ST,MORRIS AVE,3RD AVE
1700,14074,E 149TH ST,SOUTHERN BLVD,BRUCKNER BLVD
1701,14075,E 150TH ST,MELROSE AVE,THIRD AVE
1702,14076,E 151ST ST,MORRIS AVE,MELROSE AVE
1703,14077,E 152ND ST,COURTLANDT AVE,BROOK AVE
1704,14078,E 153RD ST,THIRD AVE,MORRIS AVE
1705,14079,E 154TH ST,COURTLANDT AVE,THIRD AVE
1706,14080,E 155TH ST,COURTLANDT AVE,THIRD AVE
1707,14081,E 156TH ST,MORRIS AVE,ST ANNS AVE
1708,14082,E 159TH ST,THIRD AVE,ST ANNS AVE
1709,14083,E 161ST ST,MELROSE AVE,"E 163RD ST
"
1710,14084,E 161ST ST,THIRD AVE,PROSCPECT AVE
1711,14085,E 165TH ST,JEROME AVE,GRAND CONCOURSE
812,14086,E 165TH ST,GRAND CONCOURSE,MORRIS AVE
924,14087,E 167TH ST,SIMPSON ST,WESTCHESTER AV
1712,14088,E 168TH ST,WEBSTER AVE,BOSTON RD
1187,14089,E 169TH ST,GRAND CONCOURSE,JEROME AVE
118,14090,E 169TH ST,CLAY AVE,GRAND CONCOURSE
1713,14091,E 169TH ST,SIMPSON ST,BOSTON RD
289,14092,E 170TH ST,JEROME AVE,CLAY AVE
548,14093,E 172ND ST,SOUTHERN BLVD,WEST FARMS RD
1714,14094,E 174TH ST,WEBSTER AVE,PARK AVE NB
689,14095,E 175TH ST,JEROME AVE,MORRIS AVE
1715,14096,E 177TH ST,RANDALL AVE,SAMPSON AVE
1716,14097,E 181ST ST,JEROME AVE,GRAND CONCOURSE
1717,14098,E 181ST ST,GRAND CONCOURSE,VALENTINE AVE
1718,14099,E 182ND ST,E 182ND ST TL,SOUTHERN BLVD
