,Station,Roadway Name,Station Start,Station End
819,20016,BKLYN/QUEENS EX,HAMILTON AVE UNDER,EXIT 27 ATLANTIC AVE
585,20024,,17TH ENT / PROSPECT AV EXIT,10TH AVE  11TH AVE EXIT
717,20025,CATON AVE,FLATBUSH AVE,JCT LINDEN / CATON
826,20026,LINDEN BLVD,JCT LINDEN / CATON,KINGS HIGHWAY
1084,20028,CHURCH AVE,OCEAN PKWY,FLATBUSH AVE
963,20907,SHORE PKWY,FLATBUSH AVE OVER,ROCKAWAY PKWY UNDER
1113,20918,OCEAN PKWY,KINGS HIGHWAY,CHURCH AVE
52,21100,BEDFORD AVE,ROGERS AVE,ATLANTIC AVE
829,21106,3RD AVE,63RD ST,37TH ST
327,21112,4TH AVE,I 278,39TH ST
859,21116,65TH ST,21ST AVE,18TH AVE
977,21117,65TH ST,FT HAMILTON PKWY,6TH AVE
173,21121,86TH ST,4TH AVE,FT HAMILTON PKWY
588,21124,ADAMS ST,JORALEMON ST,Brooklyn Bridge
723,21125,ATLANTIC AVE,PORT OF NY,COURT ST
824,21126,ATLANTIC AVE,COURT ST,BOERUM PL
1134,21128,ATLANTIC AVE,FORT GREENE PL,VANDERBILT AVE
1241,21129,ATLANTIC AVE,VANDERBILT AVE,BEDFORD AVE
73,21130,ATLANTIC AVE,BEDFORD AVE,NOSTRAND AVE
188,21131,ATLANTIC AVE,NOSTRAND AVE,UTICA AVE
372,21132,ATLANTIC AVE,UTICA AVE,EASTRN PKY EXT
709,21135,ATLANTIC AVE,GEORGIA AVE,LOGAN ST
978,21137,AVENUE J,OCEAN PKY,CONEY IS AV
331,21142,AVENUE J,KINGS HIGHWAY,FLATLANDS AVE
611,21144,AVENUE P,65TH ST,OCEAN PKY
860,21146,AVENUE P,CONEY ISL  AVE,OCEAN AVE
691,21155,BAY PKWY,BELT PKWY,86TH ST
979,21157,BAY PKWY,65TH ST,AVENUE J
1161,21168,BUSHWICK AVE,PENNSYLVANIA AVE,VANDERVEER ST
851,21176,CADMAN PLAZA W,COURT ST,TILLARY ST
655,21184,CONDUIT BLVD,ATLANTIC AVE EB (UNDER),EUCLID AVE
651,21194,CROPSEY AVE,0.09 MI N OF SHORE PKWY (HPM,BAY PKY
261,21201,DEKALB AVE,BUSHWICK AVE,BROADWAY
861,21206,EASTERN PKWY,ROGERS AVE,NOSTRAND AVE
1000,21207,EASTERN PKWY,NOSTRAND AVE,UTICA AVE
1087,21218,FLATBUSH AVE,MBP TOLL PLAZA,SHORE PKWY NB (OFF)
350,21222,FLATBUSH AVE,FLATLANDS AVE,KINGS HIGHWAY
635,21224,FLATBUSH AVE,AVENUE J,NOSTRAND AVE
741,21225,FLATBUSH AVE,NOSTRAND AVE,FARRAGUT RD
55,21230,FLATBUSH AVE,OCEAN AVE,PLAZA ST E
195,21231,FLATBUSH AVE,PLAZA ST W,ATLANTIC AVE
347,21232,FLATBUSH AVE,ATLANTIC AVE,LAFAYETTE AVE
477,21233,FLATBUSH AVE,LAFAYETTE AVE,FULTON ST
742,21235,FLATBSH AV EXT,DEKALB AVE,MYRTLE AVE
58,21240,FLATLANDS AVE,ROCKAWAY PKWY,PENNSYLVANIA AVE
177,21241,FLUSHING AVE,BUSHWICK AVE,QUEENS CO LINE
710,21255,HAMILTON AVE,THIRD AVE,14TH ST
825,21256,HAMILTON AVE,14TH ST,COURT ST
1085,21268,KINGS HWY,NOSTRAND AVE,AVENUE N
351,21272,KINGS HWY,UTICA AVE,LINDEN BLVD
478,21273,KINGS HWY,LINDEN BLVD,BLAKE AVE
572,21284,McGUINNESS BLVD,MEEKER AVE N,GREENPOINT AVE
734,21285,McGUINNESS BLVD,GREENPOINT AVE,DUPONT ST
791,21295,MYRTLE AVE,VANDERBILT AVE,BEDFORD AVE
1162,21298,MYRTLE AVE,BUSHWICK AVE,QUEENS CO LINE
615,21304,NOSTRAND AVE,AVE J,GERRITSEN AVE
956,21307,NOSTRAND AVE,EASTERN PKWY,LINDEN BLVD
1242,21309,NOSTRAND AVE,LAFAYETTE AVE,ATLANTIC AVE
1100,21318,OLD FULTON ST,PROSPECT ST,I 278
77,21320,PARKSIDE AVE,PARK CIR,BEDFORD AVE
479,21323,PENNSYLVANIA AV,LINDEN BLVD,ATLANTIC AVE
975,21327,PLAZA ST W,UNION ST,FLATBUSH AVE
612,21334,REMSEN AVE,RALPH AVE,KINGS HIGHWAY
1268,21339,ROCKAWAY PKWY,FLATLANDS AVE,ROCKAWAY AVE
59,21340,ROGERS AVE,FARRAGUT RD,LINDEN BLVD
178,21341,ROGERS AVE,LINDEN BLVD,EASTERN PKY
533,21343,S 4TH ST,I-278/BROOKLYN-QUEENS EXPY U,BORINQUEN PL
1220,21349,TILLARY ST,ADAMS ST,PRICE ST
216,21351,UTICA AVE,FLATBUSH AVE,FLATLANDS AVE
616,21354,UTICA AVE,LINDEN BLVD,EASTERN PKWY
1101,21368,86TH ST,14TH AVE,NEW UTRECHT AVE
1211,21369,86TH ST,7TH AVE,14TH AVE
352,21372,CONEY ISLAND AV,AVENUE U,AVENUE P
596,21374,4TH AVE,9TH ST,UNION ST
711,21375,4TH AVE,UNION ST,FLATBUSH AVE
38,21380,SURF AVE,WEST 8TH ST,OCEAN PKWY
730,21405,McGUINNESS BLVD,DUPONT ST,QUEENS CO LINE
1116,21418,4TH AVE,39TH ST,36TH ST
196,21421,4TH AVE,SHORE RD,101ST ST
332,21422,EUCLID AVE,CONDUIT BLVD,ATLANTIC AVE
146,21431,HAMILTON AVE,VAN BRUNT ST,COLUMBIA ST
308,21432,HAMILTON AVE,COLUMBIA ST,CLINTON ST
659,21434,E NEW YORK AVE,UTICA AVE,PITKIN AVE
74,22000,FULTON ST,NOSTRAND AVE,MALCOM X BLVD
320,22012,NEW YORK AVE,FARRAGUT RD,FULTON ST
794,22025,LIBERTY AVE,ALABAMA AVE,QUEENS CO LINE
795,22035,RUTLAND RD,FLATBUSH AVE,E 98TH ST
1164,22038,SARATOGA AVE,E 98TH ST,E NEW YORK AVE
1270,22059,PROSPECT AVE,OCEAN PKWY,3RD AVE
28,22070,SMITH ST,HAMILTON AVE,FULTON ST
262,22081,BENSON AVE,20TH AVE,18TH AVE
1032,22087,GRAHAM AVE,BROADWAY,MEEKER AVE
75,22100,SCHENECTADY AVE,LEFFERTS AVE,FULTON ST
652,22114,CLINTON AVE,ATLANTIC AVE,PARK AVE
761,22115,FARRAGUT RD,NOSTRAND AVE,UTICA AVE
1165,22118,HEGEMAN AVE,WILLIAMS AVE,LINWOOD ST
1239,22119,1ST AVE,58TH ST,39TH ST
205,22121,HUMBOLDT ST,METROPOLITAN AVE,FLUSHING AVE
441,22123,SHORE BLVD,EMMONS BLVD,OXFORD ST
662,22124,9TH ST,3RD AVE,PROSPECT PK W
1033,22127,WYCKOFF AVE,FLUSHING AVE,QUEENS CO/L
266,22131,NASSAU AVE,BEDFORD AVE,VARICK ST
535,22133,GREENE AVE,FULTON ST,FRANKLIN AVE
731,22135,FILLMORE AVE,GERRITSEN AVE,FLATBUSH AVE
905,22136,FRANKLIN ST,N 14TH ST,COMMERCIAL ST
1034,22137,CARLTON AVE,GREENE AVE,FLUSHING AVE
221,22141,AVENUE R,E 16TH ST,GERRITSEN AVE
355,22142,BRIGHTON BEACH,OCEAN PKWY,CORBIN PL
78,22150,HARWAY AVE,CROPSEY AVE,STILLWELL AVE
1086,22158,VANDERVOORT AVE,GRAND ST,I 278
199,22161,24TH AVE,CROPSEY AVE,STILLWELL AVE
165,22211,LENOX RD,FLATBUSH AVE,REMSEN AVE
321,22212,MEEKER AVE N,KINGSLAND AVE,METROPOLITAN AVE
454,22213,DUMONT AVE,NEW LOTS AVE,VAN SINDEREN AVE
821,23006,NY27 Exit 5 AT,NY27 EB (OFF),OCEAN PKWY
935,23007,NY27 Exit 5 AT,PROSPECT AVE,NY27 WB (ON)
307,23022,I278 Exit 24,3RD AVE,I278 WB (ON)
1188,23029,908B Exit 1 AT,HIGHLAND BLVD,908B NB (ON)
139,23061,907C Exit 9 EMM,907C NE (OFF),SHORE PKWY
296,23062,907C Exit 9 EMM,SHORE PKWY,907C SW (ON)
9,23070,907C Exit 11 FL,907C SW (OFF),FLATBUSH AVE
435,23073,907C Exit 11 FL,907C SW (OFF),FLATBUSH AVE
440,24013,18TH AVE,OCEAN PKWY,CONEY ISLAND AVE
1075,24018,23RD ST,6TH AVE,7TH AVE
222,24021,36TH ST,5TH AVE,7TH AVE
1076,24028,53RD ST,4TH AVE,6TH AVE
1077,24058,ASHFORD ST,COZINE AVE,WORTMAN AVE
359,24062,AVENUE D,KINGS HWY,RALPH AVE
632,24064,AVENUE H,CONEY ISLAND AVE,DEAD END
519,24073,AVENUE P,KINGS HWY,NOSTRAND AVE
906,24076,AVENUE S,E 36TH ST,FLATBUSH AVE
1035,24077,AVENUE T,E 15TH ST,E 16TH ST
1272,24079,AVENUE U,STILLWELL AVE,86TH ST
536,24083,AVENUE X,SHELL RD,OCEAN PKWY
1040,24087,AVENUE Z,NOSTRAND AVE,COYLE ST
416,24092,BAY 50TH ST,STILLWELL AVE,SHORE PKY S RD
442,24093,BAY 7TH ST,CROPSEY AVE,BATH AVE
936,24097,BENSON AVE,14TH AVE,18TH AVE
628,24114,BUFFALO AVE,EASTERN PKWY,BERGEN ST
579,24124,CLEVELAND ST,LINDEN BLVD,ATLANTIC AVE
743,24125,CLINTON ST,BAY ST,HAMILTON AVE N
1205,24129,CONCORD ST,BRIDGE PLAZA,JAY ST
60,24130,CONEY ISLAND AV,BRIGHTON BEACH AVE,NEPTUNE AVE
200,24141,CRESCENT ST,CONDUIT BLVD,ATLANTIC AVE
700,24155,E 16TH ST,AVE Z,SHEEPSHEAD BAY RD
580,24164,E 74TH ST,AVE X,AVE U
1244,24179,FOSTER AVE,OCEAN PKWY,RUGBY RD
823,24186,FOSTER AVE,ROCKAWAY AVE,BANK ST
324,24192,GARDNER AVE,METROPOLITAN AVE,GRAND ST
581,24194,GLENWOOD RD,CONEY ISLAND AVE,DEAD END
701,24195,GLENWOOD RD,DEAD END,OCEAN AVE
1041,24197,GLENWOOD RD,E 58TH ST,RALPH AVE
1276,24209,GREENPOINT AVE,WEST ST,MCGUINESS BLVD
17,24220,HEMLOCK ST,N CONDUIT AVE,LIBERTY AVE
1079,24248,MARINE AVE,4TH AVE,92ND ST
358,24252,MC DONALD AVE,AVE U,KINGS HWY
1093,24258,MC DONALD AVE,HAMILTON PKWY,20TH ST
1206,24269,NASSAU ST,FLATBUSH AVE EXT,N PORTLAND AVE
341,24282,OXFORD ST,ORIENTAL ST,SHORE BLVD
540,24283,PACIFIC ST,EASTERN PKY,EAST NY AVE
111,24290,PITKIN AVE,EASTERN PKY,MOTHER GASTON BLVD
417,24292,PITKIN AVE,CONDUIT BLVD,75TH ST
1114,24308,ROEBLING ST,LEE AVE,BROADWAY
744,24315,SCHENECTADY AVE,LINDEN BLVD,CLARKSON AVE
1235,24339,VAN SINDEREN AV,ATLANTIC AVE,BROADWAY
313,24342,VANDERBILT AVE,MYRTLE AVE,I 278
1080,24348,W 17TH ST,SURF AVE,NEPTUNE AVE
376,24352,W 36TH ST,CANAL AVE,BAY VIEW AVE
764,24355,W 8TH ST,SURF AVE,NEPTUNE AVE
1081,24358,W BRIGHTON AVE,W 5TH ST,OCEAN PKY
541,24363,WILLOUGHBY ST,PEARL ST,FLATBUSH AVE
418,24372,WASHINGTON AVE,ATLANTIC AVE,PARK AVE
937,24387,7TH AVE,37th St,36TH ST
938,25177,E 99TH ST,DEAD END,FARRAGUT RD
1082,25178,GRAND ST,KENT ST,BEDFORD AVE
150,25181,N 13TH ST,KENT AVE,BERRY ST
1193,25199,JEROME ST,FLATLANDS AVE,WORTMAN AVE
310,25212,WELLINGTON CT,DEAD END,E 17TH ST
445,25213,IRVINGTON PL,DEAD END,E 17TH ST
835,26006,OVINGTON AVE,7TH AVE,6TH AVE
311,26022,NY27 Exit 5 AT,OCEAN PKWY (OFF),NY27 EB(ON)
976,26027,65TH ST,6TH AVE,ACC I-278/4TH AVE
862,26036,WOODHULL ST,HICKS ST,HENRY ST
1223,26049,CROPSEY AVE,SHORE PKWY/TO BELT PKWY E,0.09 MI N OF SHORE PKWY (HPM
10,26050,907C Exit 8 CON,CONEY ISLAND AVE,ITO 907C W.B.
827,26056,KNAPP ST,EMMONS AVE,VOORHIES AVE
309,26072,DITMAS AV,CONEY ISLAND AVE,OCEAN AVE
1168,26098,52ND ST,17TH AVE,19TH AVE
496,26103,E 14TH ST,AVE I,AVE H
170,26111,86TH ST,AVE U,AVE X
822,26136,21ST AVE,BAY RIDGE PKWY,53RD ST
115,26140,GLENMORE AVE,MOTHER GASTON BLVD,ALABAMA AVE
939,26307,I278 Exit 24,I278 NB GOWANUS PKY,PROSPECT PKWY EB
312,26312,I278 Exit 24,NY27 WB (OFF),HAMILTON AVE
446,26313,I278 Exit 24,NY27 WB (OFF),I278  EB (ON)
455,26333,3RD AVE NB,65TH ST,BARRIER
1174,28008,DEKALB AVE,QUEENS CO LINE,BUSHWICK AVE
447,28033,GREENE AVE,KNICKERBOCKER AVE,CYPRESS AVE
909,28036,COOPER ST,BROADWAY,IRVING ST
950,28077,MANHATTAN AVE,MESEROLE ST,DRIGGS AVE
1175,28078,DIVISION AVE,KENT AVE,DRIGGS AVE
147,28081,OCEAN PWY svce,KINGS HWY,NY27 CHURCH AVE
784,40005,BROADWAY,BROADWAY/W 178TH ST,DYCKMAN ST
897,40076,WEST ST,RT 478I START RT 9A,14TH ST
252,41001,2ND AVE,E 86TH ST,E 79TH ST
406,41002,12TH AVE,11th/12th AVE SPLIT,W 30TH ST
100,41100,DYER AVE,SH495,W 42ND ST
191,41101,10TH AVE,WEST ST,W 34TH ST
392,41102,10TH AVE,W 34TH ST,W 59TH ST
646,41104,12TH AVE,WEST 41ST ST,W 57TH ST
678,41105,WEST ST,BATTERY PL,I478
1069,41108,2ND AVE,E 23RD ST,E HOUSTON ST
282,41112,4TH AVE,E 6TH ST,UNION SQUARE E
522,41113,5TH AVE,E 135TH ST,E 138TH ST
558,41114,7TH AVE,W 23RD ST,W HOUSTON ST
679,41115,8TH AVE,W 13TH ST,W 23RD ST
1015,41117,9TH AVE,W 59TH ST,W 34TH ST
1078,41118,ALLEN ST,CANAL ST,E HOUSTON ST
1263,41119,AMSTERDAM AVE,W 59TH ST,W 72ND ST
2,41120,AMSTERDAM AVE,W 72ND ST,W 96TH ST
241,41121,AMSTERDAM AVE,W 125TH ST,W 155TH ST
410,41122,AMSTERDAM AVE,W 155TH ST,I 95
527,41123,AMSTERDAM AVE,I 95,W 181ST ST
683,41125,AV OF THE AMRCS,CHURCH ST,CANAL ST
1157,41128,BOWERY,DIVISION ST,DELANCEY ST
102,41130,BROADWAY,PARK ROW,BATTERY PLACE
653,41134,BROADWAY,W 155TH ST,W 125TH ST
1158,41138,BROOKLYN BRDGE,KINGS CO LINE,CENTRE ST
258,41141,CANAL ST,WEST ST,ALLEN ST
739,41145,CENTRE ST,PARK ROW,READE ST
981,41147,CHRYSTIE ST,CANAL ST,E HOUSTON ST
1062,41148,CHURCH ST,LIBERTY ST,CANAL ST
1264,41149,COLUMBUS AVE,W 72ND ST,W 59TH ST
211,41151,COLUMBUS CIR,SB BROADWAY,SB BROADWAY
473,41153,DELANCEY ST,CHRYSTIE ST,CLINTON ST
920,41157,LEXINGTON AVE,E 59TH ST,E 34TH ST
104,41160,E 125TH ST,FIFTH AVE,LEXINGTON AVE
242,41161,E 125TH ST,LEXINGTON AVE,HARLEM RVR DR
532,41163,E 135TH ST,FIFTH AVE,PARK AVE
990,41167,E 34TH ST,FIFTH AVE,SECOND AVE
1149,41168,E 42ND ST,FIFTH AVE,FDR DR
1256,41169,E 57TH ST,FIFTH AVE,BRIDGE ACC RD
284,41172,E 62ND ST,BRIDGE ACC RD,FDR DR SR W
428,41173,E 63RD ST,YORK AVE,LEXINGTON AVE
806,41176,E HOUSTON ST,BROADWAY,FDR DR
608,41184,LEXINGTON AVE,E 34TH ST,E 23RD ST
1063,41188,MADISON AVE,E 135TH ST,E 138TH ST
202,41191,MANHATTAN BR Up,KINGS CO LINE,Canal St
647,41194,PEARL ST,FULTON ST,ST JAMES PL
778,41195,QBORO BR U RD,E 60TH ST,E 63RD ST
4,41200,ST JAMES PL,PEARL ST,OLIVER ST
243,41201,STATE ST,WHITEHALL ST,BATTERY PL
566,41204,UNION SQ W,E 17TH ST,E 14TH ST
680,41205,VARICK ST,W HOUSTON ST,W BROADWAY
901,41206,W 125TH ST,MARGINAL ST,BROADWAY
1163,41208,W 125TH ST,AMSTERDAM AVE,F DOUGLASS BLV
94,41210,W 14TH ST,ELEVENTH AVE,SEVENTH AVE
247,41211,W 155TH ST,RIVERSIDE DR,AMSTERDAM AVE
657,41214,W 207TH ST,BRONX CO / L,TENTH AVE
792,41215,W 207TH ST,TENTH AVE,BROADWAY
398,41222,W 42ND ST,TENTH AVE,FIFTH AVE
1151,41228,W HOUSTON ST,BROADWAY,WEST ST
95,41230,WATER ST,WHITEHALL ST,FULTON ST
399,41232,W 34TH ST,DYER AVE,EIGHTH AVE
702,41235,WILLIAMSBURG BR,DELANCEY ST,KINGS CO / L
1018,41237,QBORO BR L RD,E 57TH ST,QUEENSBORO BR UPPER
400,41242,UNION SQ E,E 14 TH ST,PARK AVE SOUTH
781,41255,BROADWAY,W 107TH ST,W 96TH ST
902,41256,BROADWAY,W 125TH ST,W 107TH ST
1070,41268,1ST AVE,E 23RD ST,E 34TH ST
302,41272,2ND AVE,E 34TH ST,E 23RD ST
520,41273,2ND AVE,E 59TH ST,E 42ND ST
807,41276,7TH AVE,W 34TH ST,W 23RD ST
1153,41278,8TH AVE,W 23RD ST,W 34TH ST
1259,41279,8TH AVE,W 34TH ST,COLUMBUS CIR
249,41281,PARK AVE,E 34TH ST,E 40TH ST
1185,41289,W 167TH ST,AMSTERDAM AVE,EDGECOMBE AVE
7,41290,CLINTON ST,DELANCEY ST,E HOUSTON ST
132,41291,BANK ST,WEST ST,HUDSON ST
297,41292,E 15TH ST,UNION SQ W,FIFTH AVE
436,41293,E 25TH ST,1ST AVE,FDR DRIVE
573,41294,E 25TH ST,LEXINGTON AVE,MADISON AVE
513,42003,PARK AVE,E 72ND ST,E 132nd ST
248,42011,YORK AVE,E 60TH ST,FDR DRIVE
853,42016,CONVENT AVE,W 127TH ST,ST NICHOLAS AVE
971,42017,MADISON ST,BROOKLYN BRDG,GRAND ST
684,42025,W 55TH ST,10TH AVE,FIFTH AVE
1067,42028,W 50TH ST,TENTH AVE,FIFTH AVE
567,42034,W 25TH ST,ELEVENTH AVE,FIFTH AVE
1068,42038,E 13TH ST,CUL DE SAC,5th Ave
1183,42049,W 15TH ST,ELEVENTH AVE,FIFTH AVE
1061,42058,E BROADWAY,CHATHAM SQUARE,GRAND ST
124,42061,LAFAYETTE ST,SPRING ST,E 8TH ST
125,42071,E 49TH ST,FIFTH AVE,FDR DR
1197,42079,MULBERRY ST,BAYARD ST,BLEECKER ST
98,42080,E 96TH ST,FIFTH AVE,FDR DRIVE
26,42200,EDGECOMBE AVE,ST NICHOLAS AVE,W 155TH ST
32,43000,I95 Exit 2,AMSTERDAM AVE,MRG RMP FRM WASHINGTON BRDG
171,43001,I95 Exit 2,DVG RMPS AMSTERDAM/GWB,AMSTERDAM AVE
325,43002,I95 Exit 2,WASHINGTON BRDG WB,MRG RMP FRM AMSTERDAM AVE
449,43003,I78 Exit 1,I-78 (OFF),HUDSON ST (1ST Exit)
584,43004,I78 Exit 1,DVG RMP FRM I-78 (OFF),HUDSON ST (2nd Exit)
704,43005,I78 Exit 1,DVG RMP FRM I-78 (OFF),BEACH ST
828,43006,I78 Exit 1,DVG RMP FRM I-78 (OFF),VANICK ST (1ST EXIT)
941,43007,I78 Exit 1,DVG RMP FRM I-78 (OFF),VANICK ST (2ND EXIT)
1198,43009,I78 Exit 1,CANAL ST @ HUDSON ST,MRG RMPS TO I-78 (ON)
22,43010,I78 Exit 1,CANAL ST,MRG RMPS TO I-78 (ON)
157,43011,I78 Exit 1,VARICK ST @ WATTS ST,MRG RMPS TO I-78 (ON)
316,43012,I78 Exit 1,VARICK ST @ BROOME ST,MRG RMPS TO I-78 (ON)
577,43014,I278 at 900G,MRG RMP FRM RANDALL IS PK RD,MRG RMP TO I-278 NB (ON)
134,43031,907L Exit 2 at,BROOKLYN BRIDGE (OFF),DIVERGE TO 907L SB&NB
298,43032,907L Exit 2 at,DIVERGE TO 907L SB&SOUTH ST,907L SB (ON)
782,43035,907L Exit 9 at,907L SB (OFF),FRONTAGE RD
816,43036,907L Exit 10 at,907L SB(OFF),E 49TH ST
225,43041,907L Exit 13 at,E 73RD ST,E 71ST ST
432,43043,907L Exit 14 at,YORK AVE,907L SB (ON)
569,43044,907L Exit 14 at,907L NB (OFF),E 96TH ST
817,43046,907L Exit 14 at,E 96TH ST,907L NB (ON)
946,43047,907P EXIT 19 AT,907P NB (OFF),E 127TH ST
1090,43048,907P EXIT 19 AT,E 126TH ST,907P NB (ON)
1202,43049,907P EXIT 19 AT,907P SB (OFF),E 128TH ST
135,43051,907P Exit 21 at,PARK AVE,907P SB (ON)
818,43056,907P Exit 23 at,907P NB (OFF),FRED DOUG BLVD
1021,43057,907P Exit 23 at,DIVERGE FROM FRED DOUG BLVD,907P SB (ON)
168,43061,907P at Exit 18,907L NB (OFF),MERGE 907P SB&907L NB OFF
323,43062,907P at Exit 18,E 125TH ST,907L SB (ON)
1091,43068,907V EXIT 11a A,907V SB (OFF),RIVERSIDE DR
1203,43069,907V EXIT 11a A,907V NB (OFF),907V SB (ON)
30,43070,907V EXIT 11a A,RIVERSIDE DR (OVER),907V NB (ON)
169,43071,907V EXIT 11a A,907V NB (OFF),RIVERSIDE DR (OVER)
174,43081,907V  Exit 14 &,907V NB (OFF),RIVERSIDE DR
328,43082,907V  Exit 14 &,DIVERGE TO 907V NB&RS DR,907V NB(ON)
458,43083,907V  Exit 14 &,RIVERSIDE DR(OFF),907V NB(ON)
627,43084,907V  Exit 14 &,RIVERSIDE DR ENDS,907V NB (ON)
839,43086,907V  Exit 14 &,DVRG FRM 907V NB OFF&RVSD DR,I95 SB LOWER LEVEL(ON)
1240,43089,907V  Exit 17 D,907V NB (OFF),RIVERSIDE DR
72,43090,907V  Exit 17 D,STAFF ST,907V NB (ON)
218,43091,907V  Exit 17 D,907V SB (OFF),DYCKMAN ST
136,43801,907L Exit 2 at,DVG TO PEARL&BROOKLYN BR,MERGE WITH 907L SB OFF RAMP
292,43802,907L Exit 2 at,DIVERGE FROM 907L NB OFF,PEARL ST
433,43803,907L Exit 2 at,DIVERGE TO BROOKLYN BR&RO PL,ROBERT F WAGNER SR PL
570,43804,907L Exit 2 at,DIVERGE FROM 907L SB OFF,MERGE WITH 907L NB OFF RAMP
735,43805,907L Exit 2 at,DIVERGE TO 907L SB&NB,MERGE FROM BROOKLYN BR&PEARL
928,43807,907L Exit 2 at,PEARL ST,DIVERGE TO 907L SB&SOUTH ST
34,43900,I95 Exit 2,I-95 NB (OFF),DVG RMP TO HARLM R D SB
175,43901,I95 Exit 2,Amsterdam Ave Ramp,RT907P HARLEM RVR DR SB
474,43903,I95 Exit 2,RT907P HARLEM RVR DR NB,DVG RMPS TO I-95SB/AMSTDM AV
594,43904,I95 Exit 2,MRG RMPS FRM GWB&907P HRD,I-95 SB (ON)
793,43905,907L Exit 2 at,MERGE WITH 907L SB OFF RAMP,MRG WITH RAMP OFF PEARL ST
1092,43908,907P Exit 22 at,DIVERGE MADISON AVE,907P SB (ON)
1031,44007,LEXINGTON AVE,E 86TH ST,E 59TH ST
106,44010,PARK AVE SOUTH,E 23RD ST,E 34TH ST
534,44013,3RD AVE,E 96TH ST,E 116TH ST
929,44027,AVENUE D,E HOUSTON ST,E 14TH ST
942,44037,BETHUNE ST,WEST ST,HUDSON ST
453,44043,CATHEDRAL PKWY,RIVERSIDE DR,COLUMBUS AVE
1204,44049,CENTRAL PK N,F DOUGLAS CIR,FRAWLEY CIR
66,44050,CENTRAL PARK PO,CENTRAL PARK W DR,CENTRAL PARK CENTER DR
250,44051,CENTRAL PK W,COLUMBUS CIR,W 66TH ST
586,44064,DESBROSSES ST,WEST ST,HUDSON ST
363,44072,E 102ND ST SPUR,CENTRAL PARK E DR,FIFTH AVE
0,44080,E 13TH ST,AVENUE C,AVENUE D
317,44082,E 16TH ST,FIFTH AVE,UNION SQUARE W
943,44087,E 1ST ST,BOWERY,E HOUSTON ST
944,44097,E 30TH ST,FIFTH AVE,FIRST AVE
23,44100,E 35TH ST,FIFTH AVE,FIRST AVE
318,44102,E 37TH ST,FIFTH AVE,FIRST AVE
682,44105,E 40TH ST,PARK AVE,FIRST AVE
1184,44109,E 45TH ST,VANDERBILT AVE,FIFTH AVE
718,44115,E 5TH ST,FIRST AVE,THIRD AVE
1,44130,E 8TH ST,FIFTH AVE,3RD AVENUE
378,44132,E 96TH ST SPUR,CENTRAL PARK E DR,FIFTH AVE
223,44141,ESSEX ST,CANAL ST,E HOUSTON ST
382,44142,FAIRVIEW AVE,BROADWAY,FT GEORGE HILL
840,44146,FRONT ST,JOHN ST,OLD SLIP
1209,44149,FULTON ST,WATER ST,CHURCH ST
450,44153,GOUVERNEUR ST,WATER ST,MADISON ST
1137,44158,HARRISON ST,WEST ST,HUDSON ST
31,44160,HESTER ST,FORSYTH ST,ALLEN ST
763,44165,JACKSON ST,FDR DRIVE,GRAND ST
836,44166,JAMES ST,MADISON ST,ST JAMES PL
379,44172,LA GUARDIA PL,W HOUSTON ST,WASHINGTN SQ S
497,44173,LAIGHT ST,WEST ST,VESTRY ST
33,44180,LISPENARD ST,AVE OF THE AMERICAS,BROADWAY
224,44191,MONTGOMERY ST,SOUTH ST,E BROADWAY
591,44194,MORTON ST,WEST ST,BLEECKER ST
953,44197,N MOORE ST,WEST ST,WEST BROADWAY
837,44206,ORCHARD ST,DIVISION ST,E HOUSTON ST
634,44214,PIKE ST,CHERRY ST,DIVISION ST
1095,44218,PRINCE ST,AVE OF THE AMERICAS,BOWERY
380,44222,RIVERSIDE DR W,RVRSDE DR@120T,RIVERSIDE DR E
592,44224,RIVINGTON ST,CHRYSTIE ST,BOWERY
49,44240,VANDERBILT AVE,E 42ND ST,E 45TH ST
954,44247,W 10TH ST,WEST ST,AVE OF THE AMRC
1096,44248,W 10TH ST,AVE OF THE AMRC,FIFTH AVE
462,44263,W 13TH ST,GREENWICH  AVE,SEVENTH AVE
593,44264,W 13TH ST,SEVENTH AVE,FIFTH AVE
1111,44268,W 165TH ST,BROADWAY,ST NICHOLAS A
383,44272,W 171ST ST,BROADWAY,ST NICHOLAS A
972,44277,W 204TH ST,BROADWAY,SEAMAN AVE
80,44290,W 47TH ST,BROADWAY,FIFTH AVE
172,44291,W 4TH ST,BROADWAY,WASHINGTN SQ S
962,44297,W 60TH ST,WEST END AVE,COLUMBUS AVE
765,44305,W 66TH ST,AMSTERDAM AVE,RIVERSIDE BLVD
1245,44329,W BROADWAY,WALKER ST,VARICK ST
457,44333,WALL ST,SOUTH ST,BROADWAY
716,44335,WASHINGTON PL,WASHINGTN SQ E,BROADWAY
838,44336,WASHINGTON SQ E,WASHINGTON SQ S,WASHINGTON SQ N
460,44343,WATER ST,CATHERINE SLIP,MARKET SLIP
957,44347,WAVERLY PL,WASHINGTON SQ E,BROADWAY
283,44352,WILLIAM ST,S WILLIAM ST,BEEKMAN ST
50,45010,JUMEL TER,W 160TH ST,W 162ND ST
179,46001,I95 Exit 2,DV RP FR RT907P HARLM R D NB,AMSTERDAM AVE
333,46002,I95 Exit 2,DVG RMP TO HARLM R D SB,Amsterdam Ave Ramp
